"Year","Month","Rainfall","Month_num"
1921,"Nov",5.7,11
1921,"Dec",5.5,12
1922,"Jan",67.3,1
1922,"Feb",139.3,2
1922,"Mar",93,3
1922,"Apr",51.3,4
1922,"May",139.3,5
1922,"Jun",165.6,6
1922,"Jul",325.5,7
1922,"Aug",445.6,8
1922,"Sep",252.6,9
1922,"Oct",51.6,10
1922,"Nov",13.8,11
1922,"Dec",18.7,12
1923,"Jan",3.3,1
1923,"Feb",9.9,2
1923,"Mar",16.7,3
1923,"Apr",212.3,4
1923,"May",96.1,5
1923,"Jun",399.1,6
1923,"Jul",470.7,7
1923,"Aug",872.2,8
1923,"Sep",159.8,9
1923,"Oct",453.4,10
1923,"Nov",10.2,11
1923,"Dec",8,12
1924,"Jan",27.2,1
1924,"Feb",114.5,2
1924,"Mar",4.7,3
1924,"Apr",157.6,4
1924,"May",428.6,5
1924,"Jun",588.1,6
1924,"Jul",501,7
1924,"Aug",271.6,8
1924,"Sep",164,9
1924,"Oct",230.7,10
1924,"Nov",0.01,11
1924,"Dec",17.9,12
1925,"Jan",110.2,1
1925,"Feb",10,2
1925,"Mar",210.8,3
1925,"Apr",201.8,4
1925,"May",65.6,5
1925,"Jun",594.5,6
1925,"Jul",525.1,7
1925,"Aug",143.3,8
1925,"Sep",253,9
1925,"Oct",80.4,10
1925,"Nov",27.6,11
1925,"Dec",5.9,12
1926,"Jan",5.7,1
1926,"Feb",60.8,2
1926,"Mar",122.9,3
1926,"Apr",436.5,4
1926,"May",145.7,5
1926,"Jun",168.2,6
1926,"Jul",757.2,7
1926,"Aug",203.9,8
1926,"Sep",439,9
1926,"Oct",83,10
1926,"Nov",126.4,11
1926,"Dec",11.5,12
1927,"Jan",8,1
1927,"Feb",110.3,2
1927,"Mar",115.2,3
1927,"Apr",180.9,4
1927,"May",646.2,5
1927,"Jun",296.3,6
1927,"Jul",476,7
1927,"Aug",530.8,8
1927,"Sep",157.1,9
1927,"Oct",137.6,10
1927,"Nov",46.3,11
1927,"Dec",35,12
1928,"Jan",47.8,1
1928,"Feb",90.7,2
1928,"Mar",131.9,3
1928,"Apr",104.4,4
1928,"May",468,5
1928,"Jun",384.5,6
1928,"Jul",121.4,7
1928,"Aug",327.7,8
1928,"Sep",99.8,9
1928,"Oct",11.1,10
1928,"Nov",20.8,11
1928,"Dec",0.5,12
1929,"Jan",23.2,1
