"Day","Month","WindSpeed","Year"
8,"Jun",22.6,2013
9,"Jun",23.4,2013
10,"Jun",15.3,2013
11,"Jun",21.7,2013
12,"Jun",23.9,2013
13,"Jun",26.7,2013
14,"Jun",52.4,2013
15,"Jun",26.6,2013
16,"Jun",29.3,2013
17,"Jun",23.3,2013
18,"Jun",11.5,2013
19,"Jun",11.3,2013
20,"Jun",11.8,2013
21,"Jun",32.4,2013
22,"Jun",30,2013
23,"Jun",24.7,2013
24,"Jun",28.6,2013
25,"Jun",42.6,2013
26,"Jun",32.1,2013
27,"Jun",29.1,2013
28,"Jun",28.6,2013
29,"Jun",23.5,2013
30,"Jun",17.2,2013
1,"Jul",36.8,2013
2,"Jul",31.2,2013
3,"Jul",17.3,2013
4,"Jul",11,2013
5,"Jul",12.8,2013
6,"Jul",20.5,2013
7,"Jul",24.8,2013
8,"Jul",16.6,2013
9,"Jul",9.5,2013
10,"Jul",9.2,2013
11,"Jul",7.8,2013
12,"Jul",17.1,2013
13,"Jul",32.2,2013
14,"Jul",28.3,2013
15,"Jul",11.3,2013
16,"Jul",10.9,2013
17,"Jul",20.7,2013
18,"Jul",13.8,2013
19,"Jul",27.6,2013
20,"Jul",23.7,2013
21,"Jul",24,2013
22,"Jul",22.3,2013
23,"Jul",21.2,2013
24,"Jul",22.3,2013
25,"Jul",25.5,2013
26,"Jul",31.5,2013
27,"Jul",26.3,2013
28,"Jul",21,2013
29,"Jul",9.6,2013
30,"Jul",12.6,2013
31,"Jul",29.7,2013
1,"Aug",35,2013
2,"Aug",36.4,2013
3,"Aug",31.4,2013
4,"Aug",9.6,2013
5,"Aug",7.8,2013
6,"Aug",10.5,2013
7,"Aug",18.1,2013
8,"Aug",14.2,2013
9,"Aug",19.5,2013
10,"Aug",14.7,2013
11,"Aug",15.9,2013
12,"Aug",13.5,2013
13,"Aug",54.3,2013
14,"Aug",55,2013
15,"Aug",46.4,2013
16,"Aug",38.1,2013
17,"Aug",33.3,2013
18,"Aug",24.7,2013
19,"Aug",12.5,2013
20,"Aug",7.5,2013
21,"Aug",11.8,2013
22,"Aug",35.7,2013
23,"Aug",42.1,2013
24,"Aug",30.3,2013
25,"Aug",16.1,2013
26,"Aug",8.9,2013
27,"Aug",7.2,2013
28,"Aug",9.7,2013
29,"Aug",9.2,2013
30,"Aug",22.8,2013
31,"Aug",12.5,2013
1,"Sep",11.8,2013
2,"Sep",10.1,2013
3,"Sep",6.9,2013
4,"Sep",22.1,2013
5,"Sep",28,2013
6,"Sep",27.3,2013
7,"Sep",21.2,2013
8,"Sep",24.1,2013
9,"Sep",27,2013
10,"Sep",22.6,2013
11,"Sep",22,2013
12,"Sep",23.2,2013
13,"Sep",21.1,2013
14,"Sep",15.3,2013
15,"Sep",9.5,2013
16,"Sep",39.5,2013
17,"Sep",49.3,2013
18,"Sep",46.7,2013
19,"Sep",30.4,2013
20,"Sep",15.8,2013
21,"Sep",24.9,2013
22,"Sep",45.1,2013
23,"Sep",43.3,2013
24,"Sep",30.1,2013
25,"Sep",31,2013
26,"Sep",34.1,2013
27,"Sep",29.6,2013
28,"Sep",31,2013
29,"Sep",32.5,2013
30,"Sep",45.5,2013
1,"Oct",28.8,2013
2,"Oct",11,2013
3,"Oct",16.2,2013
4,"Oct",11.2,2013
5,"Oct",10.6,2013
6,"Oct",22.9,2013
7,"Oct",24.2,2013
8,"Oct",21.7,2013
9,"Oct",21.8,2013
10,"Oct",20.7,2013
11,"Oct",10.8,2013
