"Day","Month","Rainfall","Year"
27,"Jun",1.2,2013
28,"Jun",0.2,2013
29,"Jun",0.01,2013
30,"Jun",0,2013
1,"Jul",29.5,2013
2,"Jul",0,2013
3,"Jul",0.01,2013
4,"Jul",0.01,2013
5,"Jul",0,2013
6,"Jul",4.6,2013
7,"Jul",40.7,2013
8,"Jul",0.3,2013
9,"Jul",0.01,2013
10,"Jul",14.2,2013
11,"Jul",0.3,2013
12,"Jul",0,2013
13,"Jul",0,2013
14,"Jul",41.4,2013
15,"Jul",44.9,2013
16,"Jul",7,2013
17,"Jul",29.5,2013
18,"Jul",0.5,2013
19,"Jul",23,2013
20,"Jul",3.5,2013
21,"Jul",0.4,2013
22,"Jul",8.2,2013
23,"Jul",12.3,2013
24,"Jul",26.8,2013
25,"Jul",57.7,2013
26,"Jul",65.4,2013
27,"Jul",14.8,2013
28,"Jul",10.8,2013
29,"Jul",0,2013
30,"Jul",0,2013
31,"Jul",0.5,2013
1,"Aug",4.5,2013
2,"Aug",72.4,2013
3,"Aug",13.3,2013
4,"Aug",0.01,2013
5,"Aug",0,2013
6,"Aug",0,2013
7,"Aug",0.5,2013
8,"Aug",1.3,2013
9,"Aug",0,2013
10,"Aug",0,2013
11,"Aug",0,2013
12,"Aug",0.01,2013
13,"Aug",48.4,2013
14,"Aug",59.4,2013
15,"Aug",0.7,2013
16,"Aug",5.3,2013
17,"Aug",35.6,2013
18,"Aug",3.7,2013
19,"Aug",30.6,2013
20,"Aug",0.01,2013
21,"Aug",0.2,2013
22,"Aug",20.1,2013
23,"Aug",26,2013
24,"Aug",51.6,2013
25,"Aug",7.3,2013
26,"Aug",0,2013
27,"Aug",0,2013
28,"Aug",0,2013
29,"Aug",0,2013
30,"Aug",29.5,2013
31,"Aug",35,2013
1,"Sep",1,2013
2,"Sep",40.6,2013
3,"Sep",5,2013
4,"Sep",88.9,2013
5,"Sep",197.7,2013
6,"Sep",0.3,2013
7,"Sep",0,2013
8,"Sep",0,2013
9,"Sep",0,2013
10,"Sep",0,2013
11,"Sep",0,2013
12,"Sep",0,2013
13,"Sep",0.2,2013
14,"Sep",0,2013
15,"Sep",15.2,2013
16,"Sep",0.8,2013
17,"Sep",0,2013
18,"Sep",0.01,2013
19,"Sep",0,2013
20,"Sep",0,2013
21,"Sep",0,2013
22,"Sep",30.6,2013
23,"Sep",56.9,2013
24,"Sep",1.3,2013
25,"Sep",0.01,2013
26,"Sep",0.1,2013
27,"Sep",0.1,2013
28,"Sep",2.6,2013
29,"Sep",2.9,2013
30,"Sep",10,2013
1,"Oct",0,2013
2,"Oct",0,2013
3,"Oct",0,2013
4,"Oct",0,2013
5,"Oct",0,2013
6,"Oct",0,2013
7,"Oct",0,2013
8,"Oct",0,2013
9,"Oct",0.01,2013
10,"Oct",2.8,2013
11,"Oct",0,2013
12,"Oct",0.01,2013
13,"Oct",0,2013
14,"Oct",0.01,2013
15,"Oct",0,2013
16,"Oct",0.01,2013
17,"Oct",0.01,2013
18,"Oct",0.01,2013
19,"Oct",0,2013
20,"Oct",0,2013
21,"Oct",0.1,2013
22,"Oct",0,2013
23,"Oct",0,2013
24,"Oct",0,2013
25,"Oct",0,2013
26,"Oct",0,2013
27,"Oct",0,2013
28,"Oct",0,2013
29,"Oct",0,2013
30,"Oct",0,2013
31,"Oct",0.01,2013
1,"Nov",0,2013
2,"Nov",0.01,2013
3,"Nov",0.4,2013
4,"Nov",12.2,2013
5,"Nov",3.6,2013
6,"Nov",0.01,2013
7,"Nov",0,2013
8,"Nov",0.01,2013
9,"Nov",0.01,2013
10,"Nov",7.6,2013
11,"Nov",0.01,2013
12,"Nov",33.4,2013
13,"Nov",3.9,2013
14,"Nov",0.01,2013
15,"Nov",0,2013
16,"Nov",0,2013
17,"Nov",0,2013
18,"Nov",0,2013
19,"Nov",0,2013
20,"Nov",0.01,2013
21,"Nov",0.5,2013
22,"Nov",0.7,2013
23,"Nov",0.01,2013
24,"Nov",15.2,2013
25,"Nov",0,2013
26,"Nov",0,2013
27,"Nov",0.5,2013
28,"Nov",5.1,2013
29,"Nov",0,2013
30,"Nov",0,2013
1,"Dec",0,2013
2,"Dec",0,2013
3,"Dec",0,2013
4,"Dec",0,2013
5,"Dec",0,2013
6,"Dec",0,2013
7,"Dec",0,2013
8,"Dec",0.01,2013
9,"Dec",0,2013
10,"Dec",0,2013
11,"Dec",0,2013
12,"Dec",0.01,2013
13,"Dec",0.01,2013
14,"Dec",13,2013
15,"Dec",22.7,2013
16,"Dec",24.8,2013
17,"Dec",27.8,2013
18,"Dec",0,2013
19,"Dec",0,2013
20,"Dec",0,2013
21,"Dec",0,2013
22,"Dec",0,2013
23,"Dec",0,2013
24,"Dec",0,2013
25,"Dec",0,2013
26,"Dec",0,2013
27,"Dec",0,2013
28,"Dec",0,2013
29,"Dec",0,2013
30,"Dec",0,2013
31,"Dec",0,2013
1,"Jan",0,2014
2,"Jan",0,2014
3,"Jan",0,2014
4,"Jan",0,2014
5,"Jan",0,2014
6,"Jan",0,2014
